dataset,log,group,n_full,n_matched,thp_full_mae,thp_mae,thp_full_ma,thp_ma,thp_full_mpiw_rms_sigma,thp_mpiw_rms_sigma,thp_full_aurg,thp_aurg,LA_mae,LA_ma,LA_mpiw_rms_sigma,LA_aurg,LA+I_mae,LA+I_ma,LA+I_mpiw_rms_sigma,LA+I_aurg,LA+S_mae,LA+S_ma,LA+S_mpiw_rms_sigma,LA+S_aurg,lacr_mae,lacr_ma,lacr_mpiw_rms_sigma,lacr_aurg,best_exp
UQ_Sepsis,Sepsis,A,30767,28644,9.46041215196403,9.862434189336003,0.03818014600671345,0.039574573176723735,14.051302840904043,14.234426649268467,6.627038925572842,6.774443675000342,11.038427600618274,0.10775539221287025,4.132076750302624,3.6929615882458986,11.038427600618274,0.08019848440180796,5.110903898015721,2.7611060468489157,11.038427600618274,0.14899695178287556,3.5483652175306264,4.169276079660219,11.038427600618274,0.08019848440180796,3.5483652175306264,4.169276079660219,"{""la_lr"": 0.01, ""prior_precision"": 0.005, ""temperature"": 10, ""sigma_noise"": 3.0, ""la_epochs"": 200, ""hessian_structure"": ""full""}"
UQ_BPIC13I,BPIC13I,A,134019,121352,5.548515995779498,5.5705221756358485,0.035468512266578246,0.03741856897140704,6.99927927653044,7.038632494820299,1.9930194591884756,1.9785212709586761,7.41200224414001,0.20383980590102724,16.539504637391,0.20099119515871333,7.41200224414001,0.11951753047353726,5.248491432703618,-0.3672668226700928,7.41200224414001,0.3507232653517841,0.36821119488819193,0.20099119515871333,7.41200224414001,0.11951753047353726,0.36821119488819193,0.20099119515871333,"{""la_lr"": 0.001, ""prior_precision"": 1.0, ""temperature"": 500, ""sigma_noise"": 3.0, ""la_epochs"": 200, ""hessian_structure"": ""full""}"
UQ_BPIC12,BPIC12,A,739525,701877,3.4817998047853616,3.495236203768123,0.041918404780192584,0.04168110666257775,73.84856081755844,75.59521219826445,1.8032098118722901,1.7868216343832197,5.658511921308897,0.2508557465024197,2.757784659693796,-0.6568156203405575,5.6585119213088975,0.15201888016782938,4.098442724226009,1.1752468393879703,5.658511921308897,0.05713012854435073,5.929727035844617,1.2591134071749437,5.658511921308897,0.05713012854435073,4.098442724226009,1.2591134071749437,"{""la_lr"": 0.01, ""prior_precision"": 0.1, ""temperature"": 500, ""sigma_noise"": 3.0, ""la_epochs"": 200, ""hessian_structure"": ""full""}"
UQ_HelpDesk,HelpDesk,B,7553,5068,10.860072570498232,9.925397593627414,0.05416112425970037,0.06594117572687805,26.79758516680597,21.103226510671295,2.82836225377023,3.109142250070973,12.164050144723225,0.05124189202541788,16.503134222086047,-2.7326315868352857,12.164050144723229,0.07861553437478429,18.465444143725772,1.3529684970163771,12.164050144723225,0.11226565721794247,21.02770387513244,0.8326781224224877,12.164050144723225,0.07861553437478429,18.465444143725772,1.3529684970163771,"{""la_lr"": 0.001, ""prior_precision"": 1.0, ""temperature"": 50, ""sigma_noise"": 3.0, ""la_epochs"": 200, ""hessian_structure"": ""full""}"
UQ_BPIC20DD,BPIC20DD,B,25460,18261,3.2076228472331696,2.919186018127181,0.08415172458234656,0.06992653056544804,8.156583786889524,7.233326684860086,1.0139364709287748,0.9634920789695649,3.4938739287881324,0.34441617865307694,16.552286881271968,-0.026165527929070453,3.4938739287881324,0.16001565706600276,6.542461829752215,0.4527785829870359,3.4938739287881324,0.017947646082120444,3.5886642190067524,0.46490439292214614,3.4938739287881324,0.017947646082120444,3.5886642190067524,0.46490439292214614,"{""la_lr"": 0.001, ""prior_precision"": 1.0, ""temperature"": 500, ""sigma_noise"": 3.0, ""la_epochs"": 200, ""hessian_structure"": ""full""}"
UQ_BPIC20RFP,BPIC20RFP,B,16069,11458,3.8392936954519548,3.7104118424669363,0.03318335581284943,0.03253807320041311,38.669377271383865,39.26620589375098,1.1407434923469784,1.142233863000572,4.42461945117491,0.09616764608909839,2.800750738362992,-0.10279464643335423,4.42461945117491,0.0406258216283764,4.169601944573833,0.4699712078203695,4.42461945117491,0.02561546426888627,3.8633236427227513,0.45219009293599255,4.42461945117491,0.02561546426888627,3.8633236427227513,0.4699712078203695,"{""la_lr"": 0.01, ""prior_precision"": 0.1, ""temperature"": 500, ""sigma_noise"": 3.0, ""la_epochs"": 200, ""hessian_structure"": ""full""}"
UQ_BPIC20PTC,BPIC20PTC,B,16203,13295,12.651995266551328,11.342967037509355,0.03752869475266565,0.065589326890568,65.06536473403085,26.930784828137835,6.588923630435504,6.11361049360463,12.566548874758048,0.14418298337748575,16.53485320951247,-0.07808238211510421,12.566548874758046,0.05347992558495482,11.978719875484552,5.001617922157447,12.566548874758048,0.10942520352072818,6.941912362941262,5.035383579199474,12.566548874758046,0.05347992558495482,6.941912362941262,5.035383579199474,"{""la_lr"": 0.001, ""prior_precision"": 1.0, ""temperature"": 100, ""sigma_noise"": 3.0, ""la_epochs"": 200, ""hessian_structure"": ""full""}"
UQ_BPIC20ID,BPIC20ID,B,103854,89485,22.128458288297132,20.095690162840327,0.026662527211374673,0.03432289029875221,60.134300715328095,29.90888982854486,11.285477571454722,10.670773528496875,24.611101893047508,0.393854508655872,2.942525743187953,-4.821464672324179,24.611101893047504,0.3254242147687977,4.991800697202505,11.270895186370469,24.611101893047508,0.10110616135089513,17.13141781958231,11.452400772336764,24.611101893047504,0.10110616135089513,4.991800697202505,11.452400772336764,"{""la_lr"": 0.01, ""prior_precision"": 1.0, ""temperature"": 500, ""sigma_noise"": 3.0, ""la_epochs"": 200, ""hessian_structure"": ""full""}"
UQ_BPIC20TPD,BPIC20TPD,B,154466,136717,22.556361620267495,21.47916698360247,0.06055459623882452,0.07645129661411475,34.89287834167711,29.35949615304217,10.48000350311065,10.37983314992804,26.478206809528004,0.2834732780972093,10.634504154524498,-5.0016378859560575,26.478206809528007,0.18346288281263454,15.85674817215104,4.377121473337905,26.478206809528004,0.06202475466722054,24.276302558519944,4.413178066835407,26.478206809528004,0.06202475466722054,15.85674817215104,4.413178066835407,"{""la_lr"": 0.01, ""prior_precision"": 0.005, ""temperature"": 10, ""sigma_noise"": 3.0, ""la_epochs"": 200, ""hessian_structure"": ""full""}"
UQ_BPIC15_1,BPIC15-1,B-outlier,255536,246321,30.494381722129383,29.104580818650682,0.025767079938359635,0.02740337271608554,3276.688301843384,698.7527029344285,16.56047677880452,15.089143101789897,28.388867088217804,0.11991907996124226,16.853466891240817,5.10088920407118,28.388867088217786,0.11771829281021833,23.5664464829421,5.100889204071198,28.388867088217804,0.10876595144020022,17.674553416310882,7.013070205604894,28.388867088217786,0.10876595144020022,17.674553416310882,7.013070205604894,"{""la_lr"": 0.001, ""prior_precision"": 1.0, ""temperature"": 500, ""sigma_noise"": 3.0, ""la_epochs"": 200, ""hessian_structure"": ""full""}"
