dataset,ll,mae,mae_rt,acc
UQ_HelpDesk,-0.43471,6.65995,8.81707,0.55991
UQ_Sepsis,-64.57421,0.27443,27.41572,0.62310
UQ_BPIC13I,-4.46065,0.74817,8.57317,0.61933
UQ_BPIC20DD,2.49462,1.37655,3.55605,0.80255
UQ_BPIC20RFP,2.38968,1.61033,4.88713,0.82021
UQ_BPIC20PTC,-0.10768,3.63717,12.02946,0.78165
UQ_BPIC20ID,-0.05484,6.84041,22.04626,0.80100
UQ_BPIC20TPD,-0.05972,4.90931,25.61405,0.75958
UQ_BPIC12,5.82073,0.29635,6.76252,0.86092
UQ_BPIC15_1,-149.43926,2.16381,51.42281,0.06567
